tokens_seen,loss
40960,79.62104797363281
81920,54.80474090576172
122880,46.221824645996094
163840,41.80642318725586
204800,37.594512939453125
245760,35.27303695678711
286720,32.1536750793457
327680,31.46464729309082
368640,29.402082443237305
409600,27.992334365844727
450560,26.54220199584961
491520,25.885799407958984
532480,24.99782371520996
573440,23.653894424438477
614400,22.89995002746582
655360,22.35232162475586
696320,21.443639755249023
737280,20.978071212768555
778240,20.192466735839844
819200,18.948116302490234
860160,18.710289001464844
901120,18.11588478088379
942080,17.64484214782715
983040,16.710580825805664
1024000,16.373641967773438
1064960,15.68689250946045
1105920,15.770286560058594
1146880,15.249428749084473
1187840,14.24221134185791
1228800,14.396345138549805
1269760,13.770485877990723
1310720,13.192939758300781
1351680,13.543062210083008
1392640,12.418890953063965
1433600,12.36758804321289
1474560,12.421819686889648
1515520,12.574277877807617
1556480,11.826249122619629
1597440,11.734298706054688
1638400,11.289628028869629
1679360,10.97270393371582
1720320,11.04962158203125
1761280,10.958230018615723
1802240,10.36586856842041
1843200,10.092680931091309
1884160,10.252830505371094
1925120,9.773272514343262
1966080,9.70944595336914
2007040,9.627641677856445
2048000,9.643750190734863
2088960,9.595606803894043
2129920,9.510025024414062
2170880,9.258406639099121
2211840,9.146400451660156
2252800,8.840947151184082
2293760,9.023427963256836
2334720,8.810996055603027
2375680,8.413248062133789
2416640,8.453264236450195
2457600,8.644328117370605
2498560,8.565685272216797
2539520,8.379467010498047
2580480,7.904903411865234
2621440,8.20633316040039
2662400,8.202977180480957
2703360,8.493003845214844
2744320,8.018370628356934
2785280,7.7222371101379395
2826240,7.982882976531982
2867200,7.663670539855957
2908160,7.82598352432251
2949120,7.4862284660339355
2990080,7.463379383087158
3031040,7.661015510559082
3072000,7.3138108253479
3112960,7.204010009765625
3153920,7.256128787994385
3194880,7.507422924041748
3235840,7.257792949676514
3276800,7.666491508483887
3317760,9.177438735961914
3358720,7.930471897125244
3399680,8.63519287109375
3440640,7.645204544067383
3481600,8.503646850585938
3522560,8.429551124572754
3563520,8.754257202148438
3604480,7.087301731109619
3645440,8.241207122802734
3686400,7.9893412590026855
3727360,7.60775089263916
3768320,6.8416829109191895
3809280,6.966129302978516
3850240,6.951218128204346
3891200,6.618070125579834
3932160,6.720623016357422
3973120,6.730966091156006
4014080,6.478018760681152
4055040,6.57244348526001
4096000,6.717339992523193
4136960,6.58058500289917
4177920,6.486061096191406
4218880,6.287939548492432
4259840,6.347350120544434
4300800,6.426283359527588
4341760,6.480815410614014
4382720,6.3488240242004395
4423680,6.320455551147461
4464640,6.024727821350098
4505600,6.250123500823975
4546560,6.184309005737305
4587520,6.421110153198242
4628480,6.079357147216797
4669440,6.23097562789917
4710400,6.33505392074585
4751360,6.33298921585083
4792320,6.210304260253906
4833280,5.9549760818481445
4874240,5.919442653656006
4915200,5.861568450927734
4956160,6.026471138000488
4997120,6.0548624992370605
